太极计算机股份有限公司,太极计算机股份有限公司,2000人以上,上市公司,朝阳区,Java工程师DW（北京）,3-5年,不限,16k-18k,"五险一金,补充医疗保险,绩效奖金,餐饮补贴"
湖北添楚瀚才传媒有限公司,添楚瀚才传媒,150-500人,未融资,朝阳区,java-联合大厦,5-10年,本科,15k-30k,保险集团
九州证券股份有限公司,九州证券,500-2000人,不需要融资,朝阳区,java工程师,3-5年,本科,15k-25k,证券核心交易系统、学习机会多
北京人大金仓信息技术股份有限公司,人大金仓,150-500人,不需要融资,朝阳区,java开发工程师,不限,本科,15k-30k,六险一金，交通补助，饭补，定期体检
北京象网科技有限公司,北京象网科技有限公司,2000人以上,B轮,朝阳区,高级java开发工程师,3-5年,本科,20k-35k,团队氛围好
信美人寿相互保险社,信美相互,150-500人,不需要融资,西城区,Java开发工程师,5-10年,本科,25k-35k,蚂蚁出资 技术成长
百融云创科技股份有限公司,百融云创,500-2000人,C轮,朝阳区,java工程师,3-5年,本科,18k-30k,发展空间大/待遇优厚/办公环境好
北京软通智慧科技有限公司,软通智慧,2000人以上,不需要融资,海淀区,高级研发工程师(java),5-10年,本科,20k-30k,无笔试，入职快
北京和泰恒信科技发展有限公司,悦福享,150-500人,A轮,朝阳区,Java开发工程师,3-5年,本科,15k-20k,六险一金 带薪年假 周末双休 定期团建
百融云创科技股份有限公司,百融云创,500-2000人,C轮,朝阳区,java工程师,3-5年,本科,20k-30k,发展空间大/待遇优厚/办公环境好
隆平高科信息技术（北京）有限公司,隆平信息,15-50人,不需要融资,朝阳区,java开发工程师,3-5年,本科,15k-25k,上市企业、大牛带队、发展空间
北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,java开发工程师,3-5年,大专,15k-20k,发展
杉数科技（北京）有限公司,杉数科技,50-150人,B轮,东城区,Java开发工程师,3-5年,本科,15k-30k,优质团队 六险一金 周末双休 氛围轻松
中电达通数据技术股份有限公司,中电达通,15-50人,C轮,朝阳区,java开发工程师(管培生）,在校/应届,本科,5k-8k,新技术+新领域，重要行业大型数字化转型项目
京品高科信息科技（北京）有限公司,京品高科,50-150人,A轮,昌平区,java开发工程师,3-5年,本科,15k-25k,有大牛带队，老板Nice，团队氛围好，项目奖金
北京华图宏阳网络科技有限公司,华图在线,150-500人,D轮及以上,海淀区,高级java开发工程师,3-5年,本科,15k-25k,加班可调休，带薪年假等
上海喜马拉雅科技有限公司,喜马拉雅,2000人以上,D轮及以上,朝阳区,Java工程师,3-5年,本科,15k-25k,极客文化 智能硬件 团队好 成长快
杉数科技（北京）有限公司,杉数科技,50-150人,B轮,东城区,高级Java开发工程师,5-10年,本科,18k-35k,精英团队 六险一金 风口行业 福利多多
贝壳找房（北京）科技有限公司,贝壳,2000人以上,上市公司,海淀区,java开发工程师,5-10年,本科,25k-50k,六险一金，带薪年假，行业头部企业
